"面額新台幣10元之公司"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積、資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積、資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1586 - 和勤","股東會確認","107年 年度","107/01/01~107/12/31","1","108/04/11","108/05/24","        121,720,029","        102,008,907","        185,332,319","        112,085,460","0.50000000","0.0","         36,623,429","0.50000000","0.0","          3,662,343","本公司當年度總決算如有盈餘,除依法繳納營利事業所得稅及彌補以往年度虧損外,依先提撥百分之十法定盈餘公積,但法定盈餘公積已達資本總額時不在此限。再依法令提列或迴轉特別盈餘公積後,就其餘額併同上年度累積未分配盈餘由董事會擬具盈餘分配議案,提請股東會決議分派股東股息紅利。
股利中至少提撥百分之五十發放現金股利。","",
"1591 - 駿吉-KY","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/19","108/06/13","         12,974,311","         47,740,215","         66,529,350","         33,364,543","1.00000000","0.0","         33,164,807","0.0","0.0","                  0","103.(1)Where the Company has profits (before income tax) at the end of the Company’s fiscal year, it shall, with the approval of the Board by way of a resolution passed by the Board in accordance with Article 89 and a report to the Members in general meeting, set aside not more than 3 percent (3 %) for bonuses of Directors and not less than three percent (3%) and not more than eight percent (8%) to employees of the Company and of its Subordinate Companies who are determined by the Board in its reasonable discretion, provided, however, that cumulative losses shall be deducted first from the profits of the year before the balance is used to calculated the bonuses for employees and Directors. 
本公司會計年度終了有獲利(稅前淨利)時，經董事會依第89條規定決議並報告股東會，提撥董事酬勞不超過百分之三，本公司及從屬公司員工酬勞不低於百分之三且不高於百分之八，員工酬勞分派由董事會決定，但年度獲利應先扣除累積虧損，再就餘額計算員工酬勞及董事酬勞。

(2)Except as otherwise provided in Articles 100 and 104, any balance profit left, after paying all relevant taxes, setting aside reserves, and deducting such amount as may be recommended by the Board not to distribute, may, with the approval of the Members in general meeting by way of an Ordinary Resolution, be distributed to the Members as dividends.
    上述酬勞分派後之盈餘，於完納稅捐、提列公積及扣除董事會建議不分派之數額後，經股東常會普通決議分派給股東為股利，但第100條及第104條另有規定者，不在此限。

104.Since the Company is at the growth stage of its business, dividends will be not less than 10% of the total retained earnings and may be distributed in the form of cash or new shares and the ratio for cash dividend will be not less than 5% of total distribution subject to adjustment in consideration of such factors as capital spending, financial health and business development. The Company may by Special Resolution, (a) determine that the whole or a part of the profit distributable as dividends and/or bonuses be distributed in the form of new shares to be issued by the Company or, (b) declare that a dividend be satisfied wholly or in part by the distribution of specific assets of any kind and in particular of paid up shares, debentures or warrants to subscribe securities of the Company or any other company, or in any one or more of such ways.  Any fraction of such newly issued shares shall be paid in cash.  The Board may resolve that no such assets shall be made available to Members with registered addresses in any particular territory or territories where, in the absence of a registration statement or other special formalities, such distribution of assets would or might, in the opinion of the Board, be unlawful or impracticable and in such event the only entitlement of the Members aforesaid shall be to receive cash payments as aforesaid.  Members affected as a result of the foregoing sentence shall not be or be deemed to be a separate class of Members for any purpose whatsoever.
    本公司於成長階段，股利分派不低於可分配盈餘總數之百分之十，股利分派得以現金股利或股票股利為之，現金股利比率不低於股利總額百分之五，但得視資本支出、健全財務及業務發展等因素調整。本公司得以股東會特別決議將(a)應分派股息或紅利之全部或一部，以發行新股方式為之；或(b)股息紅利之全部或一部，以分派資產，實收股份、債權股證或認購本公司或他公司有價證券之權證或其組合方式支付。畸零股得以現金支付。倘董事會認為股東受領實物分派未經登記或特定程序，依股東登記地址所在國家地區之法令屬違法或難以執行者，董事會對該股東得不為實物分派，而支付現金。前開股東不得視為不同種類之股東。","",
"1593 - 祺驊","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/15","108/06/21","         56,679,017","        120,288,115","        184,737,528","         56,943,708","4.00000000","0.0","        127,793,820","0.0","0.0","                  0","本公司每年決算如有盈餘，應先提繳稅款，彌補已往虧損，次提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列；其餘額再依法令規定提列或迴轉特別盈餘公積後，併同累計未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，每年就可供分配盈餘提撥不低於10%分配股東股息紅利；分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之50%。","",
"1595 - 川寶","股東會確認","107年 年度","107/01/01~107/12/31","1","108/04/26","108/06/14","        924,183,209","        196,599,789","      1,102,180,991","        984,865,656","2.50000000","0.0","        117,315,335","0.0","0.0","                  0","本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利","",
"1599 - 宏佳騰","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/27","108/03/27","        143,527,190","        215,295,270","        338,580,279","        161,440,720","1.00000000","0.0","         59,046,519","2.00000000","0.0","         11,809,304","本公司每年度決算如有盈餘時，應依法提繳稅捐、彌補虧損，次提百分之十為法定盈餘公積，但法定盈餘公積已達公司資本總額時，不在此限。另依相關法令規定提列或迴轉特別盈餘公積，剩餘部分併同期初未分配盈餘為股東累積可分配盈餘，由董事會擬定盈餘分配案提請股東會決議分配之。","",
"面額新台幣10元之公司"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積、資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積、資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1742 - 台蠟","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/25","108/06/25","          8,576,386","       -100,886,118","        -81,218,410","        -81,218,410","0.0","0.0","                  0","0.0","0.0","                  0","第 十八 條：本公司年度決算如有盈餘，應先提繳稅款、彌補已往虧損，次提百分之十為法定盈餘公積，並視需要酌提特別盈餘公積，其餘由董事會擬具分配案提請股東會決議。
第十八條之一：本公司考量產業環境及企業成長階段，因應未來資金需求、長期財務規劃，於擬具盈餘分配案中股東紅利之發放，其現金股利分派比率原則以不低於當年度股東紅利總額百分之一，但公司遇有重大投資計畫、重大營運變動事項及產能擴充或其他重大資本支出等資金需求，且對外資金不易取得時，或現金股利每股之配發若低於０、一元，則全數改以股票股利發放。
第十八條之二：本公司應依當年度獲利情況，提撥不低於百分之一為員工酬勞以及不高於百分之三為董事監察人酬勞。但公司尚有累積虧損時，應預先保留彌補數額。員工酬勞得以股票或現金為之，且發給股東或現金之對象，得包括符合一定條件之從屬公司員工。","",
"1777 - 生泰","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/19","108/06/19","        206,117,920","        153,990,922","        345,269,108","        246,072,593","3.30000000","0.0","         99,196,515","0.0","0.0","                  0","本公司考量產業環境多變及企業之成長性，
因應未來資金需求及長期規劃，並滿足股東
對現金流入之需求，本公司決算後如有盈餘
，依下列順序分派之：
１．提繳稅捐。
２．彌補虧損。
３．提列百分之十法定盈餘公積。
４．必要時提列或迴轉特別盈餘公積。
５．餘額連同上一年度累積未分配盈餘提撥至
少百分之二十為股東紅利，其中現金股利不得
低於股利總數百分之二十，但現金股利每股若
低於0.2元，得經董事會決議，改以股票股利
發放，並經股東會承認後分配之。","",
"1781 - 合世","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/26","108/06/12","        -76,977,731","        -38,458,471","       -111,432,786","       -111,432,786","0.0","0.0","                  0","0.0","0.0","                  0","本公司應以當年度獲利狀況之百分之一至百分之十分派員工酬勞及應以不高於當年度獲利狀況之百分之三分派董事及監察人酬勞，但公司尚有累積虧損時，應予彌補。
本公司年度總決算如有盈餘，應先提繳稅款、彌補歷年累積虧損，次提10%為法定盈餘公積，但法定盈餘公積已達公司資本總額時，不在此限。並依法令或主管機關規定提撥或迴轉特別盈餘公積，如尚有盈餘，其餘額再加計以前年度累積未分配盈餘由董事會擬具分派議案，提請股東會決議後分派之。","",
"1784 - 訊聯","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/22","108/06/27","                  0","         24,230,637","         13,797,745","                  0","0.28155259","0.0","         13,797,745","0.0","0.0","                  0","第二十條之一:
本公司年度決算如有本期稅後淨利，應先彌補以往年度虧損(包括調整未分配盈餘金額)，次提撥百分之十為法定盈餘公積，但法定盈餘公積已達資本總額時，不在此限。並依法令或主管機關規定提撥或迴轉特別盈餘公積。如尚有盈餘，併同期初未分配盈餘(包括調整未分配盈餘金額)為股東累積可分配盈餘，由董事會擬具盈餘分配案提請股東會決議分配之。","",
"1785 - 光洋科","股東會確認","107年 年度","107/01/01~107/12/31","1","108/05/10","108/06/28","         34,110,634","        389,003,147","        332,180,816","        156,808,319","0.40000000","0.0","        175,372,497","0.0","0.0","                  0","本公司年度決算如有盈餘，依下列順序分派之。
一、提繳稅捐。
二、彌補虧損。
三、提存百分之十為法定盈餘公積。但法定盈餘公積累積達本公司資本額時，不在此限。
四、其他依法令規定或依主管機關命令提列或迴轉特別盈餘公積。
五、其餘加計以前年度之未分派盈餘，得酌於保留盈餘後，由董事會擬具盈餘分派議案，提請股東會決議之。
(備註：附條件通過承認，須獲債權銀行團同意後，始分配107年度盈餘，否則不予分配。)","",
"1788 - 杏昌","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/12","108/06/21","        156,062,471","        243,448,758","        357,654,472","        141,654,472","6.00000000","0.0","        216,000,000","0.0","0.0","                  0","第 廿 條：公司年度總決算如有盈餘，依下列順序分配之：
一、先提繳稅款。
二、彌補以前年度虧損。
三、提列百分之十為法定盈餘公積。
四、依法令或主管機關規定提撥或迴轉特別盈餘公積。
五、餘額再加計以往年度未分配盈餘作為可供分配盈餘，由董事會擬定分配議案提請股東會決議分配之。","",
"1796 - 金穎生技","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/21","108/06/18","         11,936,942","         10,315,226","         20,484,754","          6,585,558","0.50000000","0.0","         13,899,196","0.0","0.0","                  0","本公司年度決算如有盈餘，應先依法繳納營利事業所得稅，彌補以往年度虧損後，如尚有盈餘，應依法提列法定盈餘公積百分之十，但法定盈餘公積已達實收資本額時，不在此限，其餘再依法令規定提列或迴轉特別盈餘公積後，為本期可供分配數，在加計上年度累積未分配盈餘後，為累積可分配盈餘，由董事會擬具盈餘分派議案，提請股東會決議後分派之。
本公司正處營業成長期，股利政策優先考量公司之未來發展及財務狀況，並兼顧股東之合理報酬，股東紅利應為累積可分配盈餘之30%以上，而股東紅利之現金股利所佔比率至少在10%以上。","",
"1799 - 易威","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/25","108/06/27","        -47,173,677","       -242,163,164","       -292,895,361","       -292,895,361","0.0","0.0","                  0","0.0","0.0","                  0","本公司年度決算如有盈餘，依法繳納稅捐，彌
補累積虧損後，再提10%為法定盈餘公積，但
法定盈餘公積已達本公司實收資本額時，得不
再提列，其餘再依法令規定提列或迴轉特別盈
餘公積；如尚有餘額，併同累積未分配盈餘，
由董事會擬具盈餘分配議案，提請股東會決議
分派股東股息紅利。
本公司股利政策係採平衡股利政策，須視公司
目前及未來之投資環境、資金需求、國內外競
爭狀況及資本預算等因素，兼顧股東利益、平
衡股利及公司長期財務規劃等，每年經董事會
通過後提交股東會，以決議盈餘分派之金額、
股利之種類及比率；惟其中現金股利分派之比
例不得低於股利總額之百分之二十。","",
"1813 - 寶利徠","股東會確認","107年 年度","107/01/01~107/12/31","1","108/02/26","108/05/29","         43,343,376","         63,922,085","        107,944,008","         14,672,988","2.00000000","0.0","         93,271,020","0.0","0.0","                  0","本公司年度總決算如有盈餘，應先提繳稅款，彌補累積虧損，次提撥百分之十為法定盈餘公積（但法定盈餘公積已達本公司資本總額時不在此限），並視需要或依法令規定提列或迴轉特別盈餘公積外，以餘額全部或部分連同累積未分配盈餘，由董事會視營運情況擬具盈餘分配議案，提請股東會決議分派股東股息紅利。本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素。","",
"1815 - 富喬","股東會確認","107年 年度","107/01/01~107/12/31","1","108/05/08","108/06/18","        813,979,274","        408,936,172","        824,493,619","        570,267,967","0.50000000","0.0","        211,854,702","0.10000000","0.0","          4,237,095","本公司年度決算如有盈餘，於依法繳納一切稅捐及彌補虧損後，先提百分之十為法定盈餘公積，再依相關法令或主管機關規定提列或迴轉特別盈餘公積後，如尚有盈餘，連同累積未分配盈餘，由董事會擬具盈餘分配案，提請股東會決議分派股東紅利。
本公司股利政策，係因應整體產業環境及業務規模拓展、並考量公司之資本支出計劃、現金流量及營運盈餘狀況，及兼顧股東利益，故股東紅利之發放以股票及現金互相搭配，其中現金股利以佔百分之二十以上為原則。","",
"2035 - 唐榮公司","董事會擬議","107年 年度","107/01/01~107/12/31","1","108/02/25","108/06/12","     -1,484,369,000","     -1,441,675,000","     -2,902,020,000","     -2,902,020,000","0.0","0.0","                  0","0.0","0.0","                  0","第40-1條：本公司年度決算如有盈餘，於完納稅捐後，應先彌補以前年度虧損、次提10％法定盈餘公積，但法定盈餘公積已達資本總額時，不在此限；另並得依營運需要及依法令規定提列或迴轉特別盈餘公積，如尚有盈餘，得併同前一年度累積未分配盈餘，作為可供分配盈餘，由董事會視公司營運及財務情形擬具盈餘分配議案，提請股東會決議。
盈餘之分派 得以現金股利或股票股利之方式為之，現金股利並不得低於當年度股利總額50%為原則，但現金股利每股若未達0.1元，即暫不配發。
前項紅利之分派，以各股東持有股份之比例為準。應分派紅利之全部或一部，並得經由股東會特別決議以發行新股方式為之。不滿一股之金額以現金分派之。
本公司分派股東紅利，應充分考量公司重大投資計劃、產能擴充或其他重大資本支出等未來發展之資金需求，並兼顧股東之權益，經股東會決議後辦理。","無",
"2061 - 風青","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/22","108/06/27","         30,803,207","        -19,179,356","          9,971,824","          9,971,824","0.0","0.0","                  0","0.0","0.0","                  0","本公司應依當年度獲利狀況，以不低於0.5%為員工酬勞，及不高於10%為董事、監察人酬勞，但公司尚有累積虧損時，應先予彌補。","",
"2063 - 世鎧","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/13","108/05/31","            377,258","        165,035,334","        148,458,148","         13,458,148","3.00000000","0.0","        135,000,000","0.0","0.0","                  0","本公司將考量公司所處環境及成長階段，
因應未來資金需求及長期財務規劃，
並滿足股東對現金流入的需求，
因此當年度所分派的股利中，
以現金股利不低於股利總額之百分之六。","",
"2064 - 晉椿","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/27","108/06/17","        291,942,276","         71,245,902","        347,654,335","        277,654,335","1.00000000","0.0","         70,000,000","0.0","0.0","                  0","公司年度總決算如有盈餘，應先提繳稅款，彌補以往虧損，次提10%為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時不在此限；另視公司營運需要及法令規定提列特別盈餘公積，其餘除派付股息外，如尚有盈餘併同期初未分配盈餘，由董事會擬具盈餘分配案提請股東會決議分派之。","",
"2065 - 世豐","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/08","108/06/18","        142,562,279","         93,636,499","        230,055,905","        141,822,011","2.70000000","0.0","         88,233,894","0.0","0.0","                  0","未考量公司所處環境及成長階段，因應未來資金需求及長期財務規劃，公司於年度決算後如有盈餘，於提撥分派股東股利時，其中現金股利不低於當年度配發股利總額之百分之十。","",
"2066 - 世德","股東會確認","107年 年度","107/01/01~107/12/31","1","108/05/10","108/06/21","        413,441,495","        153,037,338","        549,570,004","        440,802,394","3.00000000","0.0","        108,767,610","0.0","0.0","                  0","第二十條:本公司每年決算所得純益，除依法扣繳所得稅外，應先彌補以往年度虧損，次就其餘額提存百分之十為法定盈餘公積金，但法定盈餘公積已達資本總額時，不在此限，及依法提列或迴轉特別盈餘公積後，併同期初未分配盈餘為股東累積可分配盈餘，由董事會擬具分派議案，提請股東會決議分派之。
本公司股利政策係採剩餘股利政策，並以現金股利與股票股利搭配方式發放，將就累積可分配盈餘提撥百分之十以上分派股息及股東紅利，現金股利分配總額不低於股利分派總額百分之十。","",
"2067 - 嘉鋼","股東會確認","107年 年度","107/01/01~107/12/31","1","108/03/25","108/06/26","           -270,010","         64,006,238","         49,094,914","         31,039,643","0.40000000","0.0","         18,055,271","0.0","0.0","                  0","本公司年度決算如有盈餘，於依法完納一切稅捐後，應先彌補以往年度虧損，如尚有餘額，應先提列百分之十為法定盈餘公積，直至法定盈餘公積已達本公司資本總額時為止，並依公司營運需要或法令規定提列或迴轉特別盈餘公積後，併同累計未分配盈餘，由董事會擬定盈餘分派案，提請股東會決議分派之。
本公司為求永續經營、考量長期財務規劃及未來資金需求，採取股利平衡政策，每年度盈餘之分派，其中現金股利部分不低於百分之十。","",
