出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業費用,營業利益（損失）,營業外收入及支出,繼續營業單位稅前純益（純損）,所得稅費用（利益）,繼續營業單位本期純益（純損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,其他綜合損益（淨額）,利息以外淨損益,繼續營業單位稅前淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,收入,支出,其他綜合損益
114/10/28,113,3,2206,三陽工業,51082951.00,40693444.00,5605909.00,4783598.00,365113.00,,1139416.00,,--,--,4009295.00,,--,4576212.00,3718827.00,--,290468.00,4217055.00,--,359157.00,4.69,,,,,,,,4009295.00,,,,,,,5148711.00,,,--,--,10389507.00,--,--,10389507.00,--,566917.00,,,,,,,,,
114/10/28,113,3,2208,台船,11242969.00,12963348.00,443514.00,-2163893.00,905075.00,,11067.00,,--,--,-1269885.00,,--,-1242287.00,-1261388.00,--,-8497.00,-1233790.00,--,-8497.00,-1.00,,,,,,,,-1269885.00,,,,,,,-1258818.00,,,--,--,-1720379.00,--,--,-1720379.00,--,27598.00,,,,,,,,,
114/10/28,113,3,2211,長榮鋼,9471674.00,6856701.00,436955.00,2178018.00,633318.00,,482345.00,,--,--,2328991.00,,--,4766843.00,2091743.00,--,237248.00,4477265.00,--,289578.00,5.02,,,,,,,,2328991.00,,,,,,,2811336.00,,,--,--,2614973.00,--,--,2614973.00,--,2437852.00,,,,,,,,,
114/10/28,113,3,2227,裕日車,18776089.00,16507795.00,1977212.00,291093.00,1033210.00,,240397.00,,--,--,1083906.00,,--,1690063.00,1083906.00,--,--,1690063.00,--,--,3.61,,,,,,,,1083906.00,,,,,,,1324303.00,,,--,--,2268294.00,--,--,2268294.00,11.00,606157.00,,,,,,,,,
114/10/28,113,3,2228,劍麟,3799317.00,2830448.00,544559.00,424310.00,105003.00,,16334.00,,--,--,512979.00,,--,696918.00,512979.00,--,--,696918.00,--,--,6.76,,,,,,,,512979.00,,,,,,,529313.00,,,--,--,968869.00,--,--,968869.00,--,183939.00,,,,,,,,,
114/10/28,113,3,2231,為升,3197497.00,2123455.00,887675.00,186367.00,92408.00,,89064.00,,--,--,189711.00,,--,236312.00,232208.00,--,-42497.00,278636.00,--,-42324.00,1.65,,,,,,,,189711.00,,,,,,,278775.00,,,--,--,1074042.00,--,--,1074042.00,--,46601.00,,,,,,,,,
114/10/28,113,3,2233,宇隆,2769158.00,1742160.00,487938.00,539060.00,65077.00,,87584.00,,--,--,516553.00,,--,620384.00,518464.00,--,-1911.00,621333.00,--,-949.00,8.60,,,,,,,,516553.00,,,,,,,604137.00,,,--,--,1026998.00,--,--,1026998.00,--,103831.00,,,,,,,,,
114/10/28,113,3,2236,百達-KY,1242455.00,912735.00,393764.00,-64044.00,5525.00,,29574.00,,--,--,-88093.00,,--,-12794.00,-52169.00,--,-35924.00,21484.00,--,-34278.00,-1.01,,,,,,,,-88093.00,,,,,,,-58519.00,,,--,--,329720.00,--,--,329720.00,--,75299.00,,,,,,,,,
114/10/28,113,3,2239,英利-KY,16007473.00,13996383.00,1841613.00,169477.00,-192300.00,,5940.00,,--,--,-28763.00,,--,917231.00,-64217.00,--,35454.00,617632.00,--,299599.00,-0.53,,,,,,,,-28763.00,,,,,,,-22823.00,,,--,--,2011090.00,--,--,2011090.00,--,945994.00,,,,,,,,,
114/10/28,113,3,2241,艾姆勒,524263.00,503249.00,156987.00,-135973.00,-1963.00,,-2511.00,,--,--,-135425.00,,--,-126596.00,-118738.00,--,-16687.00,-113838.00,--,-12758.00,-1.14,,,,,,,,-135425.00,,,,,,,-137936.00,,,--,--,21014.00,--,--,21014.00,--,8829.00,,,,,,,,,
114/10/28,113,3,2243,宏旭-KY,1235054.00,1143529.00,92928.00,-1403.00,1992.00,,13249.00,,--,--,-12660.00,,--,22595.00,-12660.00,--,--,22595.00,--,--,-0.18,,,,,,,,-12660.00,,,,,,,589.00,,,--,--,91525.00,--,--,91525.00,--,35255.00,,,,,,,,,
114/10/28,113,3,2247,汎德永業,43553811.00,38730399.00,3059413.00,1783548.00,62905.00,,375468.00,,--,--,1470985.00,,--,1470985.00,1470985.00,--,--,1470985.00,--,--,18.23,,,,,,,,1470985.00,,,,,,,1846453.00,,,--,--,4823412.00,--,--,4823412.00,19549.00,--,,,,,,,,,
114/10/28,113,3,2248,華勝-KY,1475527.00,998639.00,266697.00,210191.00,23611.00,,37077.00,,--,--,196725.00,,--,245657.00,196725.00,--,--,245657.00,--,--,4.68,,,,,,,,196725.00,,,,,,,233802.00,,,--,--,476888.00,--,--,476888.00,--,48932.00,,,,,,,,,
114/10/28,113,3,2250,IKKA-KY,2694117.00,2161331.00,345340.00,187446.00,18893.00,,46250.00,,--,--,160089.00,,--,225104.00,160089.00,--,--,225104.00,--,--,5.18,,,,,,,,160089.00,,,,,,,206339.00,,,--,--,532786.00,--,--,532786.00,--,65015.00,,,,,,,,,
114/10/28,113,3,2254,巨鎧精密-創,480300.00,351920.00,170451.00,-42071.00,-13116.00,,-10991.00,,--,--,-44196.00,,--,192433.00,-44196.00,--,--,192433.00,--,--,-0.69,,,,,,,,-44196.00,,,,,,,-55187.00,,,--,--,128380.00,--,--,128380.00,--,236629.00,,,,,,,,,
114/10/28,113,3,2258,鴻華先進-創,6927578.00,5683092.00,2910642.00,-1666156.00,191472.00,,-186711.00,,--,--,-1287973.00,,--,-1287096.00,-1287973.00,--,--,-1287096.00,--,--,-0.74,,,,,,,,-1287973.00,,,,,,,-1474684.00,,,--,--,1244486.00,--,--,1244486.00,--,877.00,,,,,,,,,
114/10/28,113,3,2301,光寶科,98834478.00,77348511.00,12049092.00,9436875.00,2209623.00,,2736927.00,,--,--,8909571.00,,--,11955619.00,8892825.00,--,16746.00,11898320.00,--,57299.00,3.88,,,,,,,,8909571.00,,,,,,,11646498.00,,,--,--,21485967.00,--,--,21485967.00,--,3046048.00,,,,,,,,,
114/10/28,113,3,2302,麗正,552477.00,354063.00,138802.00,59612.00,20022.00,,16150.00,,--,--,63484.00,,--,79183.00,63484.00,--,--,79183.00,--,--,0.38,,,,,,,,63484.00,,,,,,,79634.00,,,--,--,198414.00,--,--,198414.00,--,15699.00,,,,,,,,,
114/10/28,113,3,2303,聯電,171916474.00,114604975.00,18617665.00,39655566.00,6049833.00,,7058832.00,,--,--,38646567.00,,--,45677121.00,38714347.00,--,-67780.00,45744829.00,--,-67708.00,3.12,,,,,,,,38646567.00,,,,,,,45705399.00,,,--,--,57311499.00,--,--,57311499.00,961732.00,7030554.00,,,,,,,,,
114/10/28,113,3,2305,全友,534826.00,352596.00,226129.00,-43899.00,122232.00,,16279.00,,--,--,62054.00,,--,117990.00,39737.00,--,22317.00,93161.00,--,24829.00,0.19,,,,,,,,62054.00,,,,,,,78333.00,,,--,--,182230.00,--,--,182230.00,--,55936.00,,,,,,,,,
114/10/28,113,3,2308,台達電,306945074.00,205501211.00,64493538.00,36950325.00,4525639.00,,8407808.00,,--,--,33068156.00,,--,43660947.00,28051013.00,--,5017143.00,36123192.00,--,7537755.00,10.80,,,,,,,,33068156.00,,,,,,,41475964.00,,,--,--,101443863.00,--,--,101443863.00,--,10592791.00,,,,,,,,,
114/10/28,113,3,2312,金寶,118987461.00,111120943.00,4316638.00,3549880.00,-829485.00,,698910.00,,--,--,2021485.00,,--,1726555.00,1413384.00,--,608101.00,955103.00,--,771452.00,0.95,,,,,,,,2021485.00,,,,,,,2720395.00,,,--,--,7866518.00,--,--,7866518.00,--,-294930.00,,,,,,,,,
114/10/28,113,3,2313,華通,52631879.00,44276418.00,3999054.00,4356407.00,586365.00,,1001127.00,,--,--,3941645.00,,--,5100634.00,3941645.00,--,--,5100634.00,--,--,3.31,,,,,,,,3941645.00,,,,,,,4942772.00,,,--,--,8355461.00,--,--,8355461.00,--,1158989.00,,,,,,,,,
114/10/28,113,3,2314,台揚,1285108.00,1332065.00,567799.00,-614756.00,-24275.00,,8237.00,,--,--,-647268.00,,--,-606716.00,-647268.00,--,--,-606716.00,--,--,-2.57,,,,,,,,-647268.00,,,,,,,-639031.00,,,--,--,-46957.00,--,--,-46957.00,--,40552.00,,,,,,,,,
114/10/28,113,3,2316,楠梓電,2409397.00,2525137.00,307414.00,-423154.00,1138505.00,,171088.00,,--,--,544263.00,,--,836169.00,544263.00,--,--,836169.00,--,--,3.00,,,,,,,,544263.00,,,,,,,715351.00,,,--,--,-115740.00,--,--,-115740.00,--,291906.00,,,,,,,,,
114/10/28,113,3,2317,鴻海,4729111661.00,4431209311.00,161775981.00,136126369.00,12435377.00,,29399388.00,,--,--,119162358.00,,--,200562847.00,106379192.00,--,12783166.00,181500890.00,--,19061957.00,7.67,,,,,,,,119162358.00,,,,,,,148561746.00,,,--,--,297902350.00,--,--,297902350.00,--,81400489.00,,,,,,,,,
114/10/28,113,3,2321,東訊,465261.00,328025.00,156519.00,-19283.00,6875.00,,-115.00,,--,--,-12293.00,,--,7205.00,-11075.00,--,-1218.00,8423.00,--,-1218.00,-0.82,,,,,,,,-12293.00,,,,,,,-12408.00,,,--,--,137236.00,--,--,137236.00,--,19498.00,,,,,,,,,
114/10/28,113,3,2323,中環,5509849.00,4300033.00,1484859.00,-275043.00,694466.00,,22351.00,,--,--,397072.00,,--,542783.00,410290.00,--,-13218.00,553843.00,--,-11060.00,0.38,,,,,,,,397072.00,,,,,,,419423.00,,,--,--,1209816.00,--,--,1209816.00,--,145711.00,,,,,,,,,
114/10/28,113,3,2324,仁寶,681097628.00,647278869.00,22242897.00,11575862.00,504316.00,,2722237.00,,--,--,9357941.00,,--,15613217.00,8105936.00,--,1252005.00,14299618.00,--,1313599.00,1.86,,,,,,,,9357941.00,,,,,,,12080178.00,,,--,--,33818759.00,--,--,33818759.00,--,6255276.00,,,,,,,,,
114/10/28,113,3,2327,國巨*,91661371.00,59811070.00,13768452.00,18081849.00,2594680.00,,4877523.00,,--,--,15799006.00,,--,21334353.00,15710708.00,--,88298.00,21240162.00,--,94191.00,31.06,,,,,,,,15799006.00,,,,,,,20676529.00,,,--,--,31850301.00,--,--,31850301.00,--,5535347.00,,,,,,,,,
114/10/28,113,3,2328,廣宇,16114520.00,13858993.00,1236735.00,1018792.00,87128.00,,266960.00,,--,--,838960.00,,--,1882500.00,733101.00,--,105859.00,1495214.00,--,387286.00,1.41,,,,,,,,838960.00,,,,,,,1105920.00,,,--,--,2255527.00,--,--,2255527.00,--,1043540.00,,,,,,,,,
114/10/28,113,3,2329,華泰,12150440.00,10247674.00,936649.00,966121.00,286279.00,,222172.00,,--,--,1030228.00,,--,887212.00,1030228.00,--,--,887212.00,--,--,1.45,,,,,,,,1030228.00,,,,,,,1252400.00,,,--,--,1902766.00,--,--,1902766.00,4.00,-143016.00,,,,,,,,,
114/10/28,113,3,2330,台積電,2025846521.00,913871108.00,214731495.00,896340137.00,60700494.00,,159077760.00,,--,--,797962871.00,,--,831645140.00,798587976.00,--,-625105.00,831764315.00,--,-119175.00,30.80,,,,,,,,797962871.00,,,,,,,957040631.00,,,--,--,1111975413.00,--,--,1111975413.00,-903781.00,33682269.00,,,,,,,,,
114/10/28,113,3,2331,精英,13187195.00,11542525.00,1878856.00,-234186.00,363544.00,,85535.00,,--,--,43823.00,,--,413282.00,43956.00,--,-133.00,413110.00,--,172.00,0.08,,,,,,,,43823.00,,,,,,,129358.00,,,--,--,1644670.00,--,--,1644670.00,--,369459.00,,,,,,,,,
114/10/28,113,3,2332,友訊,10964046.00,8126781.00,2861401.00,-24136.00,422561.00,,185665.00,,--,--,212760.00,,--,367461.00,146366.00,--,66394.00,281610.00,--,85851.00,0.24,,,,,,,,212760.00,,,,,,,398425.00,,,--,--,2837265.00,--,--,2837265.00,--,154701.00,,,,,,,,,
114/10/28,113,3,2337,旺宏,19970575.00,14648691.00,7493164.00,-2171280.00,335320.00,,-174966.00,,--,--,-1660994.00,,--,-1800961.00,-1662081.00,--,1087.00,-1802048.00,--,1087.00,-0.90,,,,,,,,-1660994.00,,,,,,,-1835960.00,,,--,--,5321884.00,--,--,5321884.00,--,-139967.00,,,,,,,,,
114/10/28,113,3,2338,光罩,5643840.00,4575745.00,844774.00,223321.00,-202813.00,,49157.00,,--,--,-28649.00,,--,-4936.00,224382.00,--,-253031.00,248095.00,--,-253031.00,1.05,,,,,,,,-28649.00,,,,,,,20508.00,,,--,--,1068095.00,--,--,1068095.00,--,23713.00,,,,,,,,,
114/10/28,113,3,2340,台亞,3191172.00,2720351.00,802804.00,-331983.00,48803.00,,-10986.00,,--,--,-272194.00,,--,-295524.00,-261831.00,--,-10363.00,-285161.00,--,-10363.00,-0.60,,,,,,,,-272194.00,,,,,,,-283180.00,,,--,--,470821.00,--,--,470821.00,--,-23330.00,,,,,,,,,
114/10/28,113,3,2342,茂矽,1352577.00,1083898.00,256000.00,12679.00,37578.00,,0.00,,--,--,50257.00,,--,44623.00,49944.00,--,313.00,44310.00,--,313.00,0.32,,,,,,,,50257.00,,,,,,,50257.00,,,--,--,268679.00,--,--,268679.00,--,-5634.00,,,,,,,,,
114/10/28,113,3,2344,華邦電,62917765.00,43997896.00,17671710.00,1248159.00,643799.00,,504182.00,,--,--,1387776.00,,--,-1028223.00,1249238.00,--,138538.00,-1334666.00,--,306443.00,0.29,,,,,,,,1387776.00,,,,,,,1891958.00,,,--,--,18919869.00,--,--,18919869.00,--,-2415999.00,,,,,,,,,
114/10/28,113,3,2345,智邦,71452841.00,56726429.00,6293954.00,8432458.00,1042324.00,,2000015.00,,--,--,7474767.00,,--,9517707.00,7474767.00,--,--,9517707.00,--,--,13.39,,,,,,,,7474767.00,,,,,,,9474782.00,,,--,--,14726412.00,--,--,14726412.00,--,2042940.00,,,,,,,,,
114/10/28,113,3,2347,聯強,312762924.00,299424568.00,6441937.00,6896419.00,1672216.00,,1858128.00,,--,--,6710507.00,,--,8168431.00,6277505.00,--,433002.00,7626064.00,--,542367.00,3.76,,,,,,,,6710507.00,,,,,,,8568635.00,,,--,--,13338356.00,--,--,13338356.00,--,1457924.00,,,,,,,,,
114/10/28,113,3,2348,海悅,5842090.00,2728928.00,711190.00,2401972.00,312019.00,,541586.00,,--,--,2172405.00,,--,2213435.00,2046956.00,--,125449.00,2087986.00,--,125449.00,13.25,,,,,,,,2172405.00,,,,,,,2713991.00,,,--,--,3113162.00,--,--,3113162.00,--,41030.00,,,,,,,,,
114/10/28,113,3,2349,錸德,5616713.00,4655562.00,1161267.00,-200116.00,455600.00,,61908.00,,--,--,193576.00,,--,297457.00,12607.00,--,180969.00,84943.00,--,212514.00,0.02,,,,,,,,193576.00,,,,,,,255484.00,,,--,--,961151.00,--,--,961151.00,--,103881.00,,,,,,,,,
114/10/28,113,3,2351,順德,8078315.00,6703379.00,680771.00,694165.00,25503.00,,141918.00,,--,--,577750.00,,--,636622.00,539424.00,--,38326.00,598296.00,--,38326.00,2.96,,,,,,,,577750.00,,,,,,,719668.00,,,--,--,1374936.00,--,--,1374936.00,--,58872.00,,,,,,,,,
114/10/28,113,3,2352,佳世達,147565680.00,123224474.00,20983945.00,3357261.00,232846.00,,1192723.00,,--,--,2397384.00,,--,3271791.00,1972995.00,--,424389.00,2486153.00,--,785638.00,1.00,,,,,,,,2397384.00,,,,,,,3590107.00,,,--,--,24341206.00,--,--,24341206.00,--,874407.00,,,,,,,,,
114/10/28,113,3,2353,宏��,198661047.00,177611216.00,17271618.00,3852306.00,2682180.00,,1909387.00,,--,--,4625099.00,,--,5990394.00,4110840.00,--,514259.00,5424841.00,--,565553.00,1.37,,,,,,,,4625099.00,,,,,,,6534486.00,,,--,--,21049831.00,--,--,21049831.00,74093.00,1365295.00,,,,,,,,,
114/10/28,113,3,2354,鴻準,42583129.00,39097759.00,2494214.00,991156.00,2495439.00,,874421.00,,--,--,2612174.00,,--,7144550.00,2683056.00,--,-70882.00,7229126.00,--,-84576.00,1.90,,,,,,,,2612174.00,,,,,,,3486595.00,,,--,--,3485370.00,--,--,3485370.00,--,4532376.00,,,,,,,,,
114/10/28,113,3,2355,敬鵬,12335147.00,10432941.00,994878.00,907328.00,445937.00,,427036.00,,--,--,926229.00,,--,1461645.00,926214.00,--,15.00,1461389.00,--,256.00,2.33,,,,,,,,926229.00,,,,,,,1353265.00,,,--,--,1902206.00,--,--,1902206.00,--,535416.00,,,,,,,,,
114/10/28,113,3,2356,英業達,448480153.00,425218379.00,15362719.00,7899055.00,-1676264.00,,1328313.00,,--,--,4894478.00,,--,11509541.00,4897838.00,--,-3360.00,11503178.00,--,6363.00,1.37,,,,,,,,4894478.00,,,,,,,6222791.00,,,--,--,23261774.00,--,--,23261774.00,--,6615063.00,,,,,,,,,
114/10/28,113,3,2357,華碩,433164296.00,355730213.00,49415626.00,28020368.00,10808449.00,,7024096.00,,--,--,31804721.00,,--,36275452.00,29755703.00,--,2049018.00,34313244.00,--,1962208.00,40.06,,,,,,,,31804721.00,,,,,,,38828817.00,,,--,--,77434083.00,-1911.00,--,77435994.00,--,4470731.00,,,,,,,,,
114/10/28,113,3,2359,所羅門,2497284.00,1956329.00,620416.00,-79461.00,142202.00,,52061.00,,--,--,10680.00,,--,35520.00,2904.00,--,7776.00,25889.00,--,9631.00,0.02,,,,,,,,10680.00,,,,,,,62741.00,,,--,--,540955.00,--,--,540955.00,--,24840.00,,,,,,,,,
114/10/28,113,3,2360,致茂,15564704.00,6425786.00,5216424.00,3922706.00,846800.00,,905896.00,,--,--,3863610.00,,--,4287424.00,3788217.00,--,75393.00,4191816.00,--,95608.00,9.00,,,,,,,,3863610.00,,,,,,,4769506.00,,,--,--,9138918.00,0.00,212.00,9139130.00,--,423814.00,,,,,,,,,
114/10/28,113,3,2362,藍天,19241683.00,15407072.00,2287850.00,1546761.00,-205288.00,,51625.00,,--,--,1289848.00,,--,3262879.00,1289848.00,--,--,3262879.00,--,--,2.20,,,,,,,,1289848.00,,,,,,,1341473.00,,,--,--,3834611.00,--,--,3834611.00,--,1973031.00,,,,,,,,,
114/10/28,113,3,2363,矽統,297205.00,175433.00,423196.00,-301424.00,872065.00,,86254.00,,--,--,484387.00,,--,792956.00,515154.00,--,-30767.00,823723.00,--,-30767.00,0.78,,,,,,,,484387.00,,,,,,,570641.00,,,--,--,121772.00,--,--,121772.00,--,308569.00,,,,,,,,,
114/10/28,113,3,2364,倫飛,924297.00,568203.00,254459.00,101635.00,30812.00,,475.00,,--,--,131972.00,,--,134302.00,132976.00,--,-1004.00,136059.00,--,-1757.00,3.30,,,,,,,,131972.00,,,,,,,132447.00,,,--,--,356094.00,--,--,356094.00,--,2330.00,,,,,,,,,
114/10/28,113,3,2365,昆盈,751880.00,446522.00,240887.00,64471.00,90780.00,,33110.00,,--,--,122141.00,,--,172076.00,121862.00,--,279.00,171057.00,--,1019.00,0.55,,,,,,,,122141.00,,,,,,,155251.00,,,--,--,305358.00,--,--,305358.00,--,49935.00,,,,,,,,,
114/10/28,113,3,2367,燿華,14051778.00,11287716.00,1483182.00,1280880.00,-77914.00,,15095.00,,--,--,1187871.00,,--,1395618.00,1187871.00,--,--,1395618.00,--,--,1.77,,,,,,,,1187871.00,,,,,,,1202966.00,,,--,--,2764062.00,--,--,2764062.00,--,207747.00,,,,,,,,,
114/10/28,113,3,2368,金像電,29096044.00,20256707.00,2394155.00,6431327.00,62378.00,,2160480.00,,0.00,--,4333225.00,,--,4775271.00,4333225.00,--,--,4775271.00,--,--,8.90,,,,,,,,4333225.00,,,,,,,6493705.00,,,--,--,8839337.00,0.00,0.00,8839337.00,-13855.00,442046.00,,,,,,,,,
114/10/28,113,3,2369,菱生,4096285.00,4062092.00,297311.00,-263118.00,52135.00,,-4773.00,,96491.00,--,-109719.00,,--,-80664.00,-85759.00,--,-23960.00,-56704.00,--,-23960.00,-0.23,,,,,,,,-206210.00,,,,,,,-210983.00,,,--,--,34193.00,--,--,34193.00,--,29055.00,,,,,,,,,
114/10/28,113,3,2371,大同,35612025.00,30406573.00,5095860.00,7058726.00,81845.00,,640585.00,,--,--,6499986.00,,--,6878716.00,6736320.00,--,-236334.00,6967587.00,--,-88871.00,3.00,,,,,,,,6499986.00,,,,,,,7140571.00,,,--,--,5205452.00,--,--,5205452.00,6949134.00,378730.00,,,,,,,,,
114/10/28,113,3,2373,震旦行,8428316.00,4561153.00,3273288.00,595133.00,360360.00,,189491.00,,--,--,766002.00,,--,1078091.00,720182.00,--,45820.00,986894.00,--,91197.00,3.20,,,,,,,,766002.00,,,,,,,955493.00,,,--,--,3867163.00,0.00,1258.00,3868421.00,--,312089.00,,,,,,,,,
114/10/28,113,3,2374,佳能,4506251.00,3199195.00,1008135.00,298921.00,216868.00,,88854.00,,--,--,426935.00,,--,659169.00,434754.00,--,-7819.00,654085.00,--,5084.00,1.52,,,,,,,,426935.00,,,,,,,515789.00,,,--,--,1307056.00,--,--,1307056.00,--,232234.00,,,,,,,,,
114/10/28,113,3,2375,凱美,3997230.00,3231408.00,437343.00,328479.00,196019.00,,146740.00,,--,--,377758.00,,--,578945.00,377758.00,--,--,578945.00,--,--,3.48,,,,,,,,377758.00,,,,,,,524498.00,,,--,--,765822.00,--,--,765822.00,--,201187.00,,,,,,,,,
114/10/28,113,3,2376,技嘉,199533614.00,178079733.00,11149112.00,10304769.00,-536905.00,,2091670.00,,--,--,7676194.00,,--,7919423.00,6912954.00,--,763240.00,7155868.00,--,763555.00,10.72,,,,,,,,7676194.00,,,,,,,9767864.00,,,--,--,21453881.00,--,--,21453881.00,--,243229.00,,,,,,,,,
114/10/28,113,3,2377,微星,146385097.00,127493975.00,12328668.00,6562454.00,1318644.00,,1549570.00,,--,--,6331528.00,,--,6911733.00,6331528.00,--,--,6911733.00,--,--,7.49,,,,,,,,6331528.00,,,,,,,7881098.00,,,--,--,18891122.00,--,--,18891122.00,--,580205.00,,,,,,,,,
114/10/28,113,3,2379,瑞昱,87049076.00,42624425.00,33802595.00,10622056.00,2077306.00,,808117.00,,--,--,11891245.00,,--,13684695.00,11891181.00,--,64.00,13684631.00,--,64.00,23.19,,,,,,,,11891245.00,,,,,,,12699362.00,,,--,--,44424651.00,--,--,44424651.00,--,1793450.00,,,,,,,,,
114/10/28,113,3,2380,虹光,1919877.00,1643137.00,564368.00,-287628.00,-20023.00,,2215.00,,--,--,-309866.00,,--,-319609.00,-304097.00,--,-5769.00,-316015.00,--,-3594.00,-1.40,,,,,,,,-309866.00,,,,,,,-307651.00,,,--,--,276740.00,--,--,276740.00,--,-9743.00,,,,,,,,,
114/10/28,113,3,2382,廣達,993442750.00,913759696.00,33219869.00,46463185.00,8946274.00,,11172469.00,,--,--,44236990.00,,--,47442595.00,43829145.00,--,407845.00,46844764.00,--,597831.00,11.37,,,,,,,,44236990.00,,,,,,,55409459.00,,,--,--,79683054.00,--,0.00,79683054.00,--,3205605.00,,,,,,,,,
114/10/28,113,3,2383,台光電,45814623.00,33126257.00,4061909.00,8626457.00,136311.00,,1837531.00,,--,--,6925237.00,,--,8020195.00,6930367.00,--,-5130.00,8025607.00,--,-5412.00,20.14,,,,,,,,6925237.00,,,,,,,8762768.00,,,--,--,12688366.00,--,--,12688366.00,--,1094958.00,,,,,,,,,
114/10/28,113,3,2385,群光,75240892.00,59891337.00,7531836.00,7817719.00,1922661.00,,1891671.00,,--,--,7848709.00,,--,11699794.00,6629820.00,--,1218889.00,10136593.00,--,1563201.00,9.11,,,,,,,,7848709.00,,,,,,,9740380.00,,,--,--,15349555.00,--,--,15349555.00,--,3851085.00,,,,,,,,,
114/10/28,113,3,2387,精元,17766374.00,14677899.00,1496264.00,1592211.00,154842.00,,760845.00,,--,--,986208.00,,--,1431555.00,1013600.00,--,-27392.00,1410132.00,--,21423.00,5.24,,,,,,,,986208.00,,,,,,,1747053.00,,,--,--,3088475.00,--,--,3088475.00,--,445347.00,,,,,,,,,
114/10/28,113,3,2388,威盛,10413777.00,7612359.00,2522031.00,279387.00,476243.00,,248868.00,,--,--,506762.00,,--,784993.00,435979.00,--,70783.00,739325.00,--,45668.00,0.87,,,,,,,,506762.00,,,,,,,755630.00,,,--,--,2801418.00,--,--,2801418.00,--,278231.00,,,,,,,,,
114/10/28,113,3,2390,云辰,498562.00,380070.00,135046.00,-16554.00,-141690.00,,26624.00,,--,--,-184868.00,,--,-185725.00,-184860.00,--,-8.00,-185717.00,--,-8.00,-0.96,,,,,,,,-184868.00,,,,,,,-158244.00,,,--,--,118492.00,--,--,118492.00,--,-857.00,,,,,,,,,
114/10/28,113,3,2392,正崴,65263336.00,56512620.00,6356044.00,2394672.00,603682.00,,994152.00,,--,--,2004202.00,,--,3499907.00,1339152.00,--,665050.00,2651787.00,--,848120.00,2.89,,,,,,,,2004202.00,,,,,,,2998354.00,,,--,--,8750716.00,--,--,8750716.00,--,1495705.00,,,,,,,,,
114/10/28,113,3,2393,億光,16018813.00,11032844.00,2922534.00,2063435.00,688270.00,,592528.00,,--,--,2159177.00,,--,2408042.00,2115730.00,--,43447.00,2351932.00,--,56110.00,4.77,,,,,,,,2159177.00,,,,,,,2751705.00,,,--,--,4985969.00,--,--,4985969.00,--,248865.00,,,,,,,,,
114/10/28,113,3,2395,研華,43472534.00,25820312.00,11116337.00,6535885.00,1236204.00,,1444179.00,,--,--,6327910.00,,--,6954673.00,6364084.00,--,-36174.00,6997043.00,--,-42370.00,7.39,,,,,,,,6327910.00,,,,,,,7772089.00,,,--,--,17652222.00,--,--,17652222.00,--,626763.00,,,,,,,,,
114/10/28,113,3,2397,友通,6598766.00,4788913.00,1431766.00,378087.00,-32343.00,,90098.00,,0.00,--,255646.00,,--,318027.00,216867.00,--,38779.00,261358.00,--,56669.00,1.89,,,,,,,,255646.00,,,,,,,345744.00,,,--,--,1809853.00,--,--,1809853.00,--,62381.00,,,,,,,,,
114/10/28,113,3,2399,映泰,1646955.00,1508248.00,208222.00,-69515.00,100316.00,,14301.00,,--,--,16500.00,,--,29219.00,16500.00,--,--,29219.00,--,--,0.09,,,,,,,,16500.00,,,,,,,30801.00,,,--,--,138707.00,--,--,138707.00,--,12719.00,,,,,,,,,
114/10/28,113,3,2401,凌陽,4920998.00,2518729.00,2184492.00,217813.00,417433.00,,108543.00,,--,--,526703.00,,--,565176.00,243387.00,--,283316.00,268982.00,--,296194.00,0.41,,,,,,,,526703.00,,,,,,,635246.00,,,--,--,2402269.00,--,--,2402269.00,36.00,38473.00,,,,,,,,,
114/10/28,113,3,2402,毅嘉,7015395.00,5796623.00,673371.00,545401.00,50955.00,,94039.00,,--,--,502317.00,,--,766131.00,502317.00,--,--,766131.00,--,--,1.67,,,,,,,,502317.00,,,,,,,596356.00,,,--,--,1218772.00,--,--,1218772.00,--,263814.00,,,,,,,,,
