證券代號,證券簡稱,除息交易日,收益分配基準日,收益分配發放日,收益分配金額 (每1受益權益單位),收益分配標準 (102年度起啟用),公告年度
0054,元大台商50,107年11月22日,107年11月28日,107年12月25日,0.75,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於信託契約第五條第二項所列本基金每受益權單位之發行價格。
前述有關本基金成立日前(不含當日)每受益權單位之發行價格為新臺幣25元。",107
0055,元大MSCI金融,107年11月22日,107年11月28日,107年12月25日,0.65,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於信託契約第五條第二項所列本基金每受益權單位之發行價格。
前款有關本基金成立日前(不含當日)每受益權單位之發行價格為新臺幣15元。",107
00713,元大台灣高息低波,107年11月22日,107年11月28日,107年12月25日,1.55,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資於中華民國境內所得之現金股利、利息收入、子基金收益分配、本基金因出借有價證券而由借券人返還之現金股利及租賃所得等收入扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失。經理公司得依該等收入之情況，決定分配之收益金額。
2.前款可分配收益若另增配其他投資於中華民國境內所得之已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第一項第二款所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第一項第二款所列本基金每受益權單位之發行價格。
前述有關本基金成立日前(不含當日)每受益權單位之發行價格為新臺幣30元。",107
006204,永豐臺灣加權,107年10月30日,107年11月05日,107年11月20日,1.94,經理公司應於收益評價日（即每年九月三十日，如該日為非營業日則延至次一營業日）檢視自成立日起至該收益評價日止本基金之累計報酬率與標的指數累計報酬率之差額，如本基金之累計報酬率大於標的指數累計報酬率達百分之一以上者（以下簡稱收益分配標準），經理公司應對受益人為收益分配。前述規定每受益權單位應分配之收益為依本基金累計報酬率扣減標的指數累計報酬率及扣減保留率後乘以成立日每受益權單位淨資產價值。前述保留率包括指數編制下所造成的短暫性超越績效部分及自本次收益評價日至下次之收益評價日間之預估總費用率，並以百分之一為限。,107
00717,富邦美國特別股,107年10月30日,107年11月05日,107年12月03日,0.216,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具查核簽證報告後，始得分配(倘可分配收益未涉及資本利得，得以簽證會計師出具覆核報告後進行分配)：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資於中華民國境外所得之現金股利、利息收入、基金收益分配、其他收入扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失。經理公司有權調整可分配收益金額。
2.前款可分配收益若另增配其他投資於中華民國境外所得之已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當季每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。經理公司有權在上述條件範圍內調整可分配收益金額。",107
00730,富邦臺灣優質高息,107年10月30日,107年11月05日,107年12月03日,0.979,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具查核簽證報告後，始得分配(倘可分配收益未涉及資本利得，得以簽證會計師出具覆核報告後進行分配)：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利、利息收入、基金收益分配、可歸屬並開立憑單之其他收入扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失。經理公司有權調整可分配收益金額。
2.前款可分配收益若另增配其他投資所得之已實現資本利得扣除資本
損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則
本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立
日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產
價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成
立日前(不含當日)每受益權單位之發行價格。經理公司有權在上述條
件範圍內調整可分配收益金額。",107
0056,元大高股息,107年10月23日,107年10月29日,107年11月27日,1.45,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格。本款有關本基金每受益權單位之發行價格為新臺幣25元。",107
00714,群益道瓊美國地產,107年10月16日,107年10月22日,107年11月12日,0.2,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
本基金每受益權單位可分配之收益，係指以本基金受益權單位投資於中華民國境外(除大陸地區外)所得之利息收入、現金股利、ETF收益分配、子基金收益分配等收入扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失。經理公司得依該等收入之情況，決定分配之收益金額。",107
00710B,FH彭博高收益債,107年09月26日,107年10月02日,107年10月25日,0.382,"(一)本基金投資中華民國及大陸地區以外地區所得之下列各款收益，做為本基金之可分配收益：
1.利息收入扣除本基金應負擔之費用。
2.前款可分配收益若另增配已實現資本利得扣除資本損失(包括已實現及未實現資本損失)及本基金應負擔之費用後之餘額為正數時，亦為可分配收益。
(二)經理公司應按季依前述可分配收益之情形，自行決定應分配之金額或不分配，未分配之可分配收益，得累積併入次季之可分配收益。如欲分配本基金信託契約第17條第1項第2款之可分配收益，則本基金於收益分配評價日之每受益權單位淨資產價值減去經理公司決定之每受益權單位分配金額後，不得低於每受益權單位之發行價格(即新臺幣貳拾元)。
(三)本基金可分配收益之分配，每季分配之情形，應經金管會核准辦理公開發行公司之簽證會計師出具收益分配複核報告後，於次季季底前指示基金保管機構分配之。",107
00711B,FH彭博新興債,107年09月26日,107年10月02日,107年10月25日,0.293,"1.本基金投資中華民國及大陸地區以外地區所得之下列各款收益，做為本基金之可分配收益：
(1)利息收入扣除本基金應負擔之費用。
(2)前款可分配收益若另增配已實現資本利得扣除資本損失(包括已實現及未實現資本損失)及本基金應負擔之費用後之餘額為正數時，亦為可分配收益。
2.經理公司應按季依前述可分配收益之情形，自行決定應分配之金額或不分配，未分配之可分配收益，得累積併入次季之可分配收益。如欲分配本基金信託契約第17條第1項第2款之可分配收益，則本基金於收益分配評價日之每受益權單位淨資產價值減去經理公司決定之每受益權單位分配金額後，不得低於每受益權單位之發行價格(即新臺幣貳拾元)。
3.本基金可分配收益之分配，每季分配之情形，應經金管會核准辦理公開發行公司之簽證會計師出具收益分配複核報告後，於次季季底前指示基金保管機構分配之。",107
00712,FH富時不動產,107年09月26日,107年10月02日,107年10月25日,0.862,"1.本基金投資中華民國及大陸地區以外地區所得之下列各款收益，做為本基金之可分配收益：
(1)利息收入、現金股利及子基金(含ETF)收益分配扣除本基金應負擔之費用。
(2)前款可分配收益若另增配已實現資本利得扣除資本損失(包括已實現及未實現資本損失)及本基金應負擔之費用後之餘額為正數時，亦為可分配收益。
2.經理公司應按季依前述可分配收益之情形，自行決定應分配之金額或不分配，未分配之可分配收益，得累積併入次季之可分配收益。如欲分配本基金信託契約第17條第1項第2款之可分配收益，則本基金於收益分配評價日之每受益權單位淨資產價值減去經理公司決定之每受益權單位分配金額後，不得低於每受益權單位之發行價格(即新臺幣貳拾元)。
3.本基金可分配收益之分配，每季分配之情形，應經金管會核准辦理公開發行公司之簽證會計師出具收益分配複核報告後，於次季季底前指示基金保管機構分配之。",107
006208,富邦台50,107年07月26日,107年08月03日,107年08月31日,0.65,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之已發放現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。",107
00692,富邦公司治理,107年07月26日,107年08月03日,107年08月31日,0.083,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具查核簽證報告後，始得分配(倘可分配收益未涉及資本利得，得以簽證會計師出具覆核報告後進行分配)：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之已發放現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前述可分配收益若另增配其他投資所得之利息所得、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。經理公司有權在上述條件範圍內調整可分配收益金額。",107
00701,國泰臺灣低波動30,107年07月26日,107年08月03日,107年08月17日,0.17,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師出具核閱報告後，始得分配：
1.本基金投資所得之現金股利扣除本基金應負擔之各項成本費用後，為本基金之可分配收益。
2.前款可分配收益若另增配其他投資於中華民國境內所得之利息所得、租賃所得、已實現資本利得扣除資本損失與本基金應負擔之費用時，則本基金於收益分配評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當次每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。",107
00702,國泰標普低波高息,107年07月26日,107年08月03日,107年08月17日,0.3,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師出具核閱報告後，始得分配：
1.本基金非投資中華民國及中國大陸地區(不含港澳地區) 所得之現金股利扣除本基金應負擔之各項成本費用後，為本基金之可分配收益。
2.前款可分配收益若另增配其他非投資中華民國及中國大陸地區(不含港澳地區)所得之利息所得、租賃所得、已實現資本利得扣除資本損失與本基金應負擔之費用時，則本基金於收益分配評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當次每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。",107
00717,富邦美國特別股,107年07月26日,107年08月03日,107年08月31日,0.581,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具查核簽證報告後，始得分配(倘可分配收益未涉及資本利得，得以簽證會計師出具覆核報告後進行分配)：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資於中華民國境外所得之現金股利、利息收入、基金收益分配、其他收入扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失。經理公司有權調整可分配收益金額。
2.前款可分配收益若另增配其他投資於中華民國境外所得之已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當季每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。經理公司有權在上述條件範圍內調整可分配收益金額。",107
0050,元大台灣50,107年07月23日,107年07月29日,107年08月27日,0.7,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。
前款有關本基金成立日前(不含當日)每受益權單位之發行價格為新臺幣36.98元。",107
006203,元大MSCI台灣,107年07月23日,107年07月29日,107年08月27日,0.35,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位之可分配收益，係指以本基金每受益權單位投資所得之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格。
前款有關本基金成立日前(不含當日)每受益權單位之發行價格為新臺幣30元。",107
00714,群益道瓊美國地產,107年07月17日,107年07月23日,107年08月13日,0.209,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
本基金每受益權單位可分配之收益，係指以本基金受益權單位投資於中華民國境外(除大陸地區外)所得之利息收入、現金股利、ETF收益分配、子基金收益分配等收入扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失。經理公司得依該等收入之情況，決定分配之收益金額。",107
00710B,FH彭博高收益債,107年06月21日,107年06月27日,107年07月19日,0.236,"1.本基金投資中華民國及大陸地區以外地區所得之下列各款收益，做為本基金之可分配收益：
(1)利息收入扣除本基金應負擔之費用。
(2)前款可分配收益若另增配已實現資本利得扣除資本損失(包括已實現及未實現資本損失)及本基金應負擔之費用後之餘額為正數時，亦為可分配收益。
2.經理公司應按季依前述可分配收益之情形，自行決定應分配之金額或不分配，未分配之可分配收益，得累積併入次季之可分配收益。如欲分配本基金信託契約第17條第1項第2款之可分配收益，則本基金於收益分配評價日之每受益權單位淨資產價值減去經理公司決定之每受益權單位分配金額後，不得低於每受益權單位之發行價格(即新臺幣貳拾元)。
3.本基金可分配收益之分配，每季分配之情形，應經金管會核准辦理公開發行公司之簽證會計師出具收益分配複核報告後，於次季季底前指示基金保管機構分配之。",107
00711B,FH彭博新興債,107年06月21日,107年06月27日,107年07月19日,0.178,"1.本基金投資中華民國及大陸地區以外地區所得之下列各款收益，做為本基金之可分配收益：
(1)利息收入扣除本基金應負擔之費用。
(2)前款可分配收益若另增配已實現資本利得扣除資本損失(包括已實現及未實現資本損失)及本基金應負擔之費用後之餘額為正數時，亦為可分配收益。
2.經理公司應按季依前述可分配收益之情形，自行決定應分配之金額或不分配，未分配之可分配收益，得累積併入次季之可分配收益。如欲分配本基金信託契約第17條第1項第2款之可分配收益，則本基金於收益分配評價日之每受益權單位淨資產價值減去經理公司決定之每受益權單位分配金額後，不得低於每受益權單位之發行價格(即新臺幣貳拾元)。
3.本基金可分配收益之分配，每季分配之情形，應經金管會核准辦理公開發行公司之簽證會計師出具收益分配複核報告後，於次季季底前指示基金保管機構分配之。",107
00712,FH富時不動產,107年06月21日,107年06月27日,107年07月19日,0.555,"1.本基金投資中華民國及大陸地區以外地區所得之下列各款收益，做為本基金之可分配收益：
(1)利息收入、現金股利及子基金(含ETF)收益分配扣除本基金應負擔之費用。
(2)前款可分配收益若另增配已實現資本利得扣除資本損失(包括已實現及未實現資本損失)及本基金應負擔之費用後之餘額為正數時，亦為可分配收益。
2.經理公司應按季依前述可分配收益之情形，自行決定應分配之金額或不分配，未分配之可分配收益，得累積併入次季之可分配收益。如欲分配本基金信託契約第17條第1項第2款之可分配收益，則本基金於收益分配評價日之每受益權單位淨資產價值減去經理公司決定之每受益權單位分配金額後，不得低於每受益權單位之發行價格(即新臺幣貳拾元)。
3.本基金可分配收益之分配，每季分配之情形，應經金管會核准辦理公開發行公司之簽證會計師出具收益分配複核報告後，於次季季底前指示基金保管機構分配之。",107
0052,富邦科技,107年05月03日,107年05月09日,107年06月06日,1.72,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利、利息收入、可歸屬並開立憑單之其他收入扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失。經理公司有權調整可分配收益金額。經理公司有權調整可分配收益金額。
2.前款可分配收益若另增配其他投資所得之已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。經理公司有權在上述條件範圍內調整可分配收益金額。經理公司有權在上述條件範圍內調整可分配收益金額。",107
00714,群益道瓊美國地產,107年04月19日,107年04月25日,107年05月17日,0.23,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
本基金每受益權單位可分配之收益，係指以本基金受益權單位投資於中華民國境外(除大陸地區外)所得之利息收入、現金股利、ETF收益分配、子基金收益分配等收入扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失。經理公司得依該等收入之情況，決定分配之收益金額。",107
